CMAbbreviation,SCC,Status
VCLDS1122B,2415310000,CURRENT
VCLDS1122B,2415320000,CURRENT
VCLDS1122B,2415325000,CURRENT
VCLDS1122B,2415330000,CURRENT
VCLDS1122B,2415335000,CURRENT
VCLDS1122B,2415340000,CURRENT
VCLDS1122B,2415345000,CURRENT
VCLDS1122B,2415355000,CURRENT
VCLDS1122B,2415360000,CURRENT
VCLDS1122B,2415365000,CURRENT
VCSADARB1,2465600000,CURRENT
VCSADARB2,2465600000,CURRENT
VCSADFR,2465600000,CURRENT
VCSADOTC,2465600000,CURRENT
VCSOLVARB1,2465000000,CURRENT
VCSOLVARB1,2465100000,CURRENT
VCSOLVARB1,2465200000,CURRENT
VCSOLVARB1,2465400000,CURRENT
VCSOLVARB2,2465000000,CURRENT
VCSOLVARB2,2465100000,CURRENT
VCSOLVARB2,2465200000,CURRENT
VCSOLVARB2,2465400000,CURRENT
VCSOLVFR,2465000000,CURRENT
VCSOLVFR,2465100000,CURRENT
VCSOLVFR,2465200000,CURRENT
VCSOLVFR,2465400000,CURRENT
VCSOLVOTC,2465000000,CURRENT
VCSOLVOTC,2465100000,CURRENT
VCSOLVOTC,2465200000,CURRENT
VCSOLVOTC,2465400000,CURRENT
VDCPERMACT,2420010055,CURRENT
VDEGMACT,2415100000,CURRENT
VDEGMACT,2415105000,CURRENT
VDEGMACT,2415110000,CURRENT
VDEGMACT,2415120000,CURRENT
VDEGMACT,2415125000,CURRENT
VDEGMACT,2415130000,CURRENT
VDEGMACT,2415135000,CURRENT
VDEGMACT,2415140000,CURRENT
VDEGMACT,2415145000,CURRENT
VDEGS1122A,2415100000,CURRENT
VDEGS1122A,2415105000,CURRENT
VDEGS1122A,2415110000,CURRENT
VDEGS1122A,2415120000,CURRENT
VDEGS1122A,2415125000,CURRENT
VDEGS1122A,2415130000,CURRENT
VDEGS1122A,2415135000,CURRENT
VDEGS1122A,2415140000,CURRENT
VDEGS1122A,2415145000,CURRENT
VDEGS1122B,2415100000,CURRENT
VDEGS1122B,2415105000,CURRENT
VDEGS1122B,2415110000,CURRENT
VDEGS1122B,2415120000,CURRENT
VDEGS1122B,2415125000,CURRENT
VDEGS1122B,2415130000,CURRENT
VDEGS1122B,2415135000,CURRENT
VDEGS1122B,2415140000,CURRENT
VDEGS1122B,2415145000,CURRENT
VDEOXCAT67,2230073110,CURRENT
VDEOXCAT67,223007311X,CURRENT
VDEOXCAT67,2230073130,CURRENT
VDEOXCAT67,223007313X,CURRENT
VDEOXCAT67,2230073150,CURRENT
VDEOXCAT67,223007315X,CURRENT
VDEOXCAT67,2230073170,CURRENT
VDEOXCAT67,223007317X,CURRENT
VDEOXCAT67,2230073190,CURRENT
VDEOXCAT67,223007319X,CURRENT
VDEOXCAT67,2230073210,CURRENT
VDEOXCAT67,223007321X,CURRENT
VDEOXCAT67,2230073230,CURRENT
VDEOXCAT67,223007323X,CURRENT
VDEOXCAT67,2230073250,CURRENT
VDEOXCAT67,223007325X,CURRENT
VDEOXCAT67,2230073270,CURRENT
VDEOXCAT67,223007327X,CURRENT
VDEOXCAT67,2230073290,CURRENT
VDEOXCAT67,223007329X,CURRENT
VDEOXCAT67,2230073310,CURRENT
VDEOXCAT67,223007331X,CURRENT
VDEOXCAT67,2230073330,CURRENT
VDEOXCAT67,223007333X,CURRENT
VDEOXCATHD,2230074110,CURRENT
VDEOXCATHD,223007411X,CURRENT
VDEOXCATHD,2230074130,CURRENT
VDEOXCATHD,223007413X,CURRENT
VDEOXCATHD,2230074150,CURRENT
VDEOXCATHD,223007415X,CURRENT
VDEOXCATHD,2230074170,CURRENT
VDEOXCATHD,223007417X,CURRENT
VDEOXCATHD,2230074190,CURRENT
VDEOXCATHD,223007419X,CURRENT
VDEOXCATHD,2230074210,CURRENT
VDEOXCATHD,223007421X,CURRENT
VDEOXCATHD,2230074230,CURRENT
VDEOXCATHD,223007423X,CURRENT
VDEOXCATHD,2230074250,CURRENT
VDEOXCATHD,223007425X,CURRENT
VDEOXCATHD,2230074270,CURRENT
VDEOXCATHD,223007427X,CURRENT
VDEOXCATHD,2230074290,CURRENT
VDEOXCATHD,223007429X,CURRENT
VDEOXCATHD,2230074310,CURRENT
VDEOXCATHD,223007431X,CURRENT
VDEOXCATHD,2230074330,CURRENT
VDEOXCATHD,223007433X,CURRENT
VDEOXCATSB,2230075110,CURRENT
VDEOXCATSB,223007511X,CURRENT
VDEOXCATSB,2230075130,CURRENT
VDEOXCATSB,223007513X,CURRENT
VDEOXCATSB,2230075150,CURRENT
VDEOXCATSB,223007515X,CURRENT
VDEOXCATSB,2230075170,CURRENT
VDEOXCATSB,223007517X,CURRENT
VDEOXCATSB,2230075190,CURRENT
VDEOXCATSB,223007519X,CURRENT
VDEOXCATSB,2230075210,CURRENT
VDEOXCATSB,223007521X,CURRENT
VDEOXCATSB,2230075230,CURRENT
VDEOXCATSB,223007523X,CURRENT
VDEOXCATSB,2230075250,CURRENT
VDEOXCATSB,223007525X,CURRENT
VDEOXCATSB,2230075270,CURRENT
VDEOXCATSB,223007527X,CURRENT
VDEOXCATSB,2230075290,CURRENT
VDEOXCATSB,223007529X,CURRENT
VDEOXCATSB,2230075310,CURRENT
VDEOXCATSB,223007531X,CURRENT
VDEOXCATSB,2230075330,CURRENT
VDEOXCATSB,223007533X,CURRENT
VDEPFCAT67,2230073110,CURRENT
VDEPFCAT67,223007311X,CURRENT
VDEPFCAT67,2230073130,CURRENT
VDEPFCAT67,223007313X,CURRENT
VDEPFCAT67,2230073150,CURRENT
VDEPFCAT67,223007315X,CURRENT
VDEPFCAT67,2230073170,CURRENT
VDEPFCAT67,223007317X,CURRENT
VDEPFCAT67,2230073190,CURRENT
VDEPFCAT67,223007319X,CURRENT
VDEPFCAT67,2230073210,CURRENT
VDEPFCAT67,223007321X,CURRENT
VDEPFCAT67,2230073230,CURRENT
VDEPFCAT67,223007323X,CURRENT
