POLLUTANT_CODE,POLLUTANT_CODE_DESC,HAP_CATEGORY_NAME,Chemical Formula,Molecular Weight,ACTIVE,LAST_MODIFICATION_DATE,VALID_V20,VALID_V30,COMMENT,Urban HAP 33,Urban HAP_baseline_33,NATO_TEQ,WHO_TEQ,I_TEQ,OzonePrecursor,PMPrecursor,HAP_or_CAP,Pollutant_Rank
109864,Ethylene Glycol Methyl Ether,Glycol Ethers,C3H8O2,76.1,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
109999,Tetrahydrofuran,,,,N,9/19/2002 0:00,Y,N,,0,0,,,,0,0,,
110496,Ethylene Glycol Monomethyl Ether Acetate,Glycol Ethers,C5H10O3,118.13,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
110543,Hexane,Hexane,C6H14,86.18,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
110714,"1,2-Dimethoxyethane",Glycol Ethers,C4H10O2,90.12,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
110805,Cellosolve Solvent,Glycol Ethers,C4H10O2,90.12,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
11103869,Zinc Potassium Chromate,Chromium Compounds,ZnK(CrO4)(OH),237.49,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
111104,Methoxyethyl Oleate,Glycol Ethers,C21H40O3,340.55,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
11115745,Chromic Acid,Chromium Compounds,,,N,5/5/2004 10:07,Y,N,The pollutant is no longer active.  The correct pollutant code is 7738945.,1,1,,,,0,1,,
111159,Cellosolve Acetate,Glycol Ethers,C6H12O3,132.16,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
111353,3-Ethoxy-1-Propanol,,,,N,9/19/2002 0:00,Y,N,,0,0,,,,0,0,,
111422,Diethanolamine,Diethanolamine, C4H11NO2,105.14,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
111444,Dichloroethyl Ether,Dichloroethyl Ether (Bis[2-Chloroethyl]Ether),C4H8Cl2O,143.01,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
111466,Diethylene Glycol,Glycol Ethers,,,N,3/13/2003 8:47,Y,N,,0,0,,,,0,0,,
111762,Butyl Cellosolve,Glycol Ethers,C6H14O2,118.18,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
111773,Diethylene Glycol Monomethyl Ether,Glycol Ethers,C5H12O3,120.15,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
111900,Diethylene Glycol Monoethyl Ether,Glycol Ethers,C6H14O3,134.18,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
111966,Diethylene Glycol Dimethyl Ether,Glycol Ethers,C6H14O3,134.18,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
1120714,"1,3-Propanesultone","1,3-Propane Sultone",C3H6O3S,122.14,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
112072,2-Butoxyethyl Acetate,Glycol Ethers,C8H16O3,160.21,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
112152,Carbitol Acetate,Glycol Ethers,C8H16O4,176.21,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
112254,2-(Hexyloxy)Ethanol,Glycol Ethers,C8H18O2,146.23,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
112276,Triethylene glycol,Glycol Ethers,C6H14O4,150.17,Y,3/13/2003 8:49,N,Y,,0,0,,,,1,1,HAP,1
112345,Diethylene Glycol Monobutyl Ether,Glycol Ethers,C8H18O3,162.23,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
112356,Methoxytriglycol,Glycol Ethers,C7H16O4,164.2,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
112367,Diethylene glycol diethyl ether,Glycol Ethers,C8H18O3,162.23,Y,3/13/2003 9:20,N,Y,,0,0,,,,1,1,HAP,1
112492,Triethylene Glycol Dimethyl Ether,Glycol Ethers,C8H18O4,178.23,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
112505,Ethoxytriglycol,Glycol Ethers,C8H18O4,178.23,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
112594,N-Hexyl Carbitol,Glycol Ethers,C10H22O3,190.28,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
114261,Propoxur,Propoxur (Baygon),C11H15NO3,209.24,Y,11/26/2001 11:02,Y,Y,,0,0,,,,0,1,HAP,1
115866,Triphenyl Phosphate,Phosphorus Compounds,,,N,5/5/2004 10:07,Y,N,The pollutant is no longer active.,0,0,,,,0,1,,
117817,Bis(2-Ethylhexyl)Phthalate,Bis(2-Ethylhexyl)Phthalate (Dehp),C24H38O4,390.56,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
118741,Hexachlorobenzene,Hexachlorobenzene,C6Cl6,284.78,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
119904,"3,3'-Dimethoxybenzidine","3,3'-Dimethoxybenzidine",C14H16N2O2,244.29,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
119937,"3,3'-Dimethylbenzidine","3,3'-Dimethylbenzidine",C14H16N2,212.29,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
120127,Anthracene,Polycyclic Organic Matter as 15-PAH,C14H10,178.23,Y,11/26/2001 11:02,Y,Y,,0,1,,,,1,1,HAP,1
12018018,Chromium Dioxide,Chromium Compounds,CrO2,83.99,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
12018198,Chromium Zinc Oxide,Chromium Compounds,Cr2ZnO4,233.37,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
12035722,Nickel Subsulfide,Nickel Compounds,Ni3S2,240.21,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
12054487,Nickel Hydroxide,Nickel Compounds,NiH2O2,92.71,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
120558,Diethylene Glycol Dibenzoate,Glycol Ethers,C18H18O5,314.34,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,1,HAP,1
12060003,Lead Titanate,Lead Compounds,PbTiO3,303.1,Y,11/26/2001 11:02,Y,Y,,1,1,,,,0,1,HAP,1
12079651,"Manganese, tricarbonyl (.eta.5-2,4-cyclopentadien-1-yl)-",Manganese Compounds,C8H5MnO3,204.06,Y,9/7/2004 13:06,N,Y,pollutant added with NC data.,1,1,,,,0,1,HAP,1
120809,Catechol,Catechol,C6H6O2,110.11,Y,11/26/2001 11:02,Y,Y,,0,0,,,,1,0,HAP,1
